,batting_team,bowling_team,city,current_score,balls_left,wickets_left,current_run_rate,last_five_over_runs,final_score
1864,Pakistan,West Indies,Trinidad,42,72,8,5.25,27.0,132
46132,England,Pakistan,Manchester,126,24,4,7.875,32.0,131
37123,West Indies,Sri Lanka,Colombo,118,36,6,8.428571428571429,41.0,162
38830,Sri Lanka,England,Chittagong,163,12,7,9.055555555555555,47.0,189
33303,Bangladesh,India,Colombo,118,19,4,7.00990099009901,39.0,139
26726,New Zealand,South Africa,Hamilton,74,64,9,7.928571428571429,37.0,173
30133,South Africa,New Zealand,Auckland,43,89,9,8.32258064516129,39.0,185
20787,South Africa,New Zealand,Wellington,125,16,5,7.211538461538462,54.0,147
14649,Bangladesh,South Africa,Cape Town,102,50,4,8.742857142857142,25.0,144
8669,Bangladesh,Pakistan,Pallekele,78,67,8,8.830188679245284,41.0,175
42437,Sri Lanka,Pakistan,Colombo,81,45,9,6.48,40.0,139
11772,New Zealand,South Africa,Centurion,61,81,9,9.384615384615385,54.0,177
40425,South Africa,West Indies,Cape Town,36,81,8,5.538461538461538,27.0,165
1490,England,Australia,Southampton,58,78,8,8.285714285714286,47.0,179
38590,England,Sri Lanka,Delhi,162,4,6,8.379310344827585,63.0,171
14256,England,South Africa,Johannesburg,63,68,7,7.269230769230769,46.0,171
5523,South Africa,West Indies,Johannesburg,206,17,6,12.0,62.0,231
21708,West Indies,New Zealand,Lauderhill,35,86,9,6.176470588235294,23.0,209
23273,Bangladesh,Pakistan,Lahore,113,20,7,6.78,38.0,141
15717,Australia,England,Southampton,73,52,7,6.4411764705882355,33.0,157
10483,New Zealand,India,Hamilton,206,4,6,10.655172413793103,56.0,212
26741,New Zealand,South Africa,Hamilton,96,49,9,8.112676056338028,43.0,173
18898,Pakistan,South Africa,Dubai,42,59,5,4.131147540983607,27.0,98
1615,West Indies,Sri Lanka,Colombo,19,76,8,2.590909090909091,18.0,137
5448,South Africa,West Indies,Johannesburg,57,87,8,10.363636363636363,52.0,231
5270,Australia,India,Barbados,167,18,7,9.823529411764707,48.0,184
39321,England,Australia,Melbourne,135,3,4,6.923076923076923,47.0,137
49668,England,Pakistan,London,80,74,8,10.434782608695652,62.0,185
41527,Pakistan,England,Manchester,47,87,10,8.545454545454545,42.0,195
22857,New Zealand,West Indies,Auckland,77,55,7,7.107692307692307,30.0,155
26351,West Indies,Pakistan,St Lucia,73,64,9,7.821428571428571,46.0,150
31944,South Africa,Pakistan,Dubai,147,6,6,7.7368421052631575,34.0,150
39039,Sri Lanka,Australia,Pallekele,117,30,7,7.8,40.0,198
29396,South Africa,Australia,Centurion,34,84,8,5.666666666666667,32.0,128
50438,Sri Lanka,Pakistan,Dubai,112,43,9,8.727272727272727,50.0,211
